restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?
Malka - Dumbo,Dumbo,56 Adams St,Brooklyn,NY,11201,0101000020E61000003509DE90467F52C0E9BAF083F3594440,ChIJ2QOSPEZbwokR5dMpgfr3PKU,
Malka UWS,Upper West Side,161 W 72nd St,New York,NY,10023,0101000020E61000002579AEEFC37E52C0BC581822A7634440,ChIJCyq9Xr1ZwokRtYHX1gcbJF0,
Maloya,Bushwick,983 Flushing Ave,Brooklyn,NY,11206,0101000020E6100000E75F819EBC7B52C0DDE79DAFFE594440,ChIJma2fX15dwokR4N39k_xbPIY,
Maman,Battery Park,210 Murray St,New York,NY,10282,0101000020E6100000C80185EFEE8052C0692103838F5B4440,ChIJVxpH38xbwokRRcqSwuRVwW4,
Maman,Cobble Hill,154 Court St,Brooklyn,NY,11201,0101000020E61000002E3986578E7F52C0C054A05A2B584440,ChIJuedIXXtbwokROUHVzt-XCtM,
Maman,Upper East Side,1424 3rd Ave,New York,NY,10028,0101000020E61000001908A9A63A7D52C0E831844A45634440,ChIJAx5HgFlZwokRcWUfz5VxS0w,
Maman,Upper West Side,429 Amsterdam Ave,New York,NY,10024,0101000020E6100000C4DC39178C7E52C0A283E9B05F644440,ChIJL8_mB4lZwokR9RPJzSCMrmw,
Mano a Mano,Logan Square,2534 N Milwaukee Ave,Chicago,IL,60647,0101000020E610000051267F411CED55C0D79B621FAEF64440,ChIJ_TpJQMnND4gR7BzXJXstAG8,
Marie's,Bushwick,195 Wyckoff Ave,Brooklyn,NY,11237,0101000020E61000006545A5BBA67A52C0159BC1BCF1594440,ChIJf0_U-V1dwokRrdkZbn2BUew,
Marseille,Hell's Kitchen,630 9th Ave,New York,NY,10036,0101000020E6100000B9A981E6737F52C0C2DCEEE53E614440,ChIJDf7etFNYwokR_b7pJ_D2_dM,
Mattina,Mattina,2232 Bush St,San Francisco,CA,94115,0101000020E6100000D584A39AC89B5EC0CC1F7821C2E44240,ChIJYTzmaFiBhYARlEFG6VasHl4,
Maybank Public House,James Island,1970 Maybank Hwy,Charleston,SC,29412,0101000020E6100000F35A09DD25FF53C0533E0455A3614040,ChIJu1AjHF55_ogRJxqL6Y7C25M,
Meadowsweet,Williamsburg,149 Broadway,Brooklyn,NY,11211,0101000020E6100000C09E12ABA37D52C0321F6FC9EF5A4440,ChIJwXUoA99bwokRU2bF-gdB25I,
Mecha Noodle Bar,RiNo,2801 Walnut St,Denver,CO,80205,0101000020E61000003B40E6B9F43E5AC09F138C9477E14340,ChIJeb6mea15bIcRznDZJqRTKJM,
Meeting House,Amagansett,4 Amagansett Square,Amagansett,NY,11930,0101000020E610000043A8F7F9140952C06E8AC745B57C4440,ChIJrZkgVae66IkR2HGHO22tVys,
Melfi's,Downtown Charleston,721 King St,Charleston,SC,29403,0101000020E6100000DDF650DA94FC53C01B738D0E35664040,ChIJ1-7uvCx7_ogRk997qqBzibY,
Menya Kanemaru Golden Ramen,Mission,174 Valencia St,San Francisco,CA,94103,0101000020E610000070873C380E9B5EC08085DDC199E24240,ChIJ2QN9pF5_j4AR16NfhOetuHk,
Mercantile,LoDo,1701 Wynkoop St #155,Denver,CO,80202,0101000020E610000044A51133FB3F5AC015EE015F76E04340,ChIJJ3w-CsN4bIcRnjIYAv0i6MU,
Midnights,Williamsburg,149 N 6th St,Brooklyn,NY,11249,0101000020E6100000D8D1CDA4577D52C03AD6B835D65B4440,ChIJoerR5V1ZwokRu55P9DJaNEo,
Mijo,Chelsea,25 11th Ave Kiosk 12,New York,NY,10011,0101000020E61000006ADFF8F59B8052C04377725C2C5F4440,ChIJYz7xMA1ZwokRKF9e6rssLcA,
Mijo,Meatpacking,10th Avenue and,New York,NY,10011,0101000020E610000011AD7026818052C053D33FD2F15E4440,ChIJVRQIjcBZwokRnHusg-u4kso,
Mile End Deli,Boerum Hill,97 Hoyt St,Brooklyn,NY,11217,0101000020E61000005ACB310E2D7F52C05ABF3B05FF574440,ChIJLb9vlE1awokRL4Ume5zpejQ,
Milk & Hops,Chelsea,166 9th Ave,New York,NY,10011,0101000020E61000000492B06F278052C01EFE9AAC515F4440,ChIJN6avE7lZwokRZrgdqFX1f6Y,
Millers All Day,Downtown,120 King St,Charleston,SC,29401,0101000020E610000023BDA8DDAFFB53C082FDD7B969634040,ChIJp1j0TRB6_ogRLcupo0MkjJ0,
Millers All Day,James Island,1956 Maybank Hwy Unit A,Charleston,SC,29412,0101000020E610000078B81D1A16FF53C02BFC19DEAC614040,ChIJEWlFjFd5_ogREoukLXlaF2I,
Milos Meze,Marina,3348 Steiner St,San Francisco,CA,94123,0101000020E61000002E1C08C9029C5EC0D82AC1E270E64240,ChIJz5elL9eAhYARHEkGT1LSNkc,
Mino Brasserie,West Village,225 W 12th St,New York,NY,10011,0101000020E6100000E1B88C9B1A8052C0AF97A608705E4440,ChIJh0Elkf1ZwokRrFXIVkSPvKU,
Mishik,Hudson Square,259A Hudson St,New York,NY,10013,0101000020E61000002315C616828052C0EC4D0CC9C95C4440,ChIJSx4uSy5ZwokRwqbvtErf43M,
