restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?
Tacombi,Midtown,23 W 33rd St,New York,NY,10001,0101000020E610000090A1519E1C7F52C0CC699FE3D05F4440,ChIJTQeoA6lZwokRpXP-fGPn4oU,
Tacombi,Nolita,267 Elizabeth St,New York,NY,10012,0101000020E6100000C2A1E733997F52C02E3B0694B15C4440,ChIJdfD8moVZwokRO6vxjXAtoWs,
Tacombi,Upper East Side,202 E 70th St,New York,NY,10021,0101000020E6100000091D1C1A837D52C0A2E9535C54624440,ChIJRc_0nbJZwokRPKi2zXCpaaY,
Tacombi,Upper West Side,377 Amsterdam Ave,New York,NY,10024,0101000020E6100000554A1D5D9F7E52C08D85D1D630644440,ChIJS4_amZhZwokRI32P3NwpsRU,
Tacombi,Westbury,1226 Old Country Rd,Westbury,NY,11590,0101000020E6100000FB1F91C5796652C0A9BB4D88685F4440,ChIJO0AoGdKHwokRhGmV5GN8o-k,
Tacombi,West Loop,126 N Peoria St,Chicago,IL,60607,0101000020E610000080DBC9969BE955C0478DAE7724F14440,ChIJY3zOPy8tDogR9JpAbCOy-Es,
Tacombi,Wicker Park,1442 N Milwaukee Ave,Chicago,IL,60622,0101000020E610000094F947DF24EB55C0BF65A95038F44440,ChIJXzk9Gw3TD4gRt_-bxIe8jdE,
Tacombi,Williamsburg,242 Metropolitan Ave,Brooklyn,NY,11211,0101000020E610000047826F13687D52C0C6104104855B4440,ChIJITt5Kl5ZwokRO71zHAwXV2g,
Tacos 1986,West Village,1 Cornelia St,New York,NY,10014,0101000020E610000018963FDF168052C04815C5ABAC5D4440,ChIJG4KjIzNZwokRoNPsES4eqaA,
Tacos Tequila Whiskey,LoHi,3300 W 32nd Ave,Denver,CO,80211,0101000020E610000027614B34ED415AC07900304388E14340,ChIJG5tJJZ14bIcRACrcxGNDuJg,
Talea,Bryant Park,22 W 40th St,New York,NY,10018,0101000020E61000002B6A9F70EA7E52C01EA1BBF358604440,ChIJ8YhauntZwokRzw7MOoKb1-I,
Talea,Cobble Hill,61 Bergen St,Brooklyn,NY,11201,0101000020E6100000378BECD76A7F52C07ADE705BF9574440,ChIJ7Xjm5QlbwokREJkEk_skS48,
Talea,Midtown,160 W 32nd St,New York,NY,10001,0101000020E610000090156B9A6B7F52C05C9BDFDBE95F4440,ChIJ8YhauntZwokRzw7MOoKb1-I,
Talea,West Village,102 Christopher St,New York,NY,10014,0101000020E6100000E0F508C64D8052C0C7327843DD5D4440,ChIJd5DfLnNZwokRRnTNeWXMEZ4,
Talea,Williamsburg,87 Richardson St,Brooklyn,NY,11211,0101000020E61000006C3107C3AE7C52C0E91C9A03035C4440,ChIJ5TvP21FZwokRLFjbliEhRUc,
Tasca NYC,Upper West Side,505 Columbus Ave,New York,NY,10024,0101000020E610000067E43D18427E52C009C7873485644440,ChIJg-QDdKFZwokRumpX4_PxJuU,
Tavernetta,LoDo,1889 16th St Mall,Denver,CO,80202,0101000020E61000001FAADF3B20405AC0EB6A97DB62E04340,ChIJ5fIM0MN4bIcRb-fymS7_krs,
Tempest,French Quarter,32 N Market St Suite C,Charleston,SC,29401,0101000020E61000008869DFDC5FFB53C0CDAB3AAB05644040,ChIJiUKdZs17_ogREZcxVv3eh-8,
Temple Bar,Temple Bar,332 Lafayette St,New York,NY,10012,0101000020E6100000D13DEB1AAD7F52C05FF64608EA5C4440,ChIJnSU3A0ZZwokR7idYNeIPu5o,
Terzo,Terzo,3011 Steiner,San Francisco,CA,94123,,ChIJK8BnWtCAhYAR-QPED11PXEY,
Tha Phraya,Upper East Side,1553 2nd Ave,New York,NY,10028,0101000020E61000008FC93DB8167D52C0A0AA9DBC23634440,ChIJXbVh8gRZwokR-uEVlFisxFE,
The Alderman,Midtown,150A W 48th St,New York,NY,10036,0101000020E61000002F1686C8E97E52C0DDEBA4BE2C614440,ChIJFfDd9lVYwokRHprgDkRnHh4,
The Archer,East Central,601 Meeting St Ste. 140,Charleston,SC,29403,0101000020E6100000F858558A78FC53C056EF1582C1664040,ChIJPaaxZsJ7_ogRSbOGoLwL9VY,
The Bakery at Greywind,Hudson Yards,451 10th Ave,New York,NY,10018,0101000020E61000000DE42E8CEE7F52C0566C2BC0C8604440,ChIJj6BPafxZwokRcskGmEJX2As,
The Bar at The Spectator,French Quarter,67 State St,Charleston,SC,29401,0101000020E6100000930035B56CFB53C09A982EC4EA634040,ChIJwXiSIp97_ogR81S_Th4qiVs,
The Big Eat,LoDo1,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Big Eat,LoDo2,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Big Eat,LoDo3,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Big Eat,LoDo4,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Big Eat,LoDo5,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Big Eat,LoDo6,1400 Curtis Street,Denver,CO,80204,,ChIJS_vG1dF4bIcRHT1-cH_igaM,
The Blue Light,Pacific Heights,1979 Union St,San Francisco,CA,94123,0101000020E610000013132FAAA09B5EC0D9A4EC3E11E64240,ChIJvVG_OtuAhYARhrfEv3QiQLA,
The Brixton,Marina,140 Union St,San Francisco,CA,94123,0101000020E610000080A423C8CB9B5EC01F1D4D1A15E64240,ChIJr066l9qAhYARBzcA3aD1zXM,
The Bronze Owl,Midtown,52 W 33rd St,New York,NY,10001,0101000020E6100000B66D73BE337F52C0F8BC87F0D45F4440,ChIJYZdXSABZwokRozRIvQvhL-s,
The Cactus Shop,Williamsburg,231 Kent Ave,Brooklyn,NY,11249,0101000020E6100000EAE31163C97D52C0A3E2EDD4BE5B4440,ChIJ_dEen79ZwokRCcfpTzsSprc,
The Coffee Counter,French Quarter,237 Meeting St,Charleston,SC,29401,0101000020E6100000D49AE61DA7FB53C04CA94BC631644040,ChIJU3WDczx7_ogR525G2DE5d8Q,
The Commons Chelsea,Chelsea,128 7th Ave,New York,NY,10011,0101000020E61000003FC8B260E27F52C0C2A38D23D65E4440,ChIJiXJVzLtZwokRbeoV2XxLOdg,
The Corner Office Restaurant + Martini Bar,LoDo,1401 Curtis Street,Denver,CO,80202,0101000020E6100000D0019365D23F5AC0FA0ED99B73DF4340,ChIJ59c0J9B4bIcRP7IDgFozjiw,
The Daily,Buckhead,3705 Northside Pkwy NW,Atlanta,GA,30327,0101000020E61000002E35609D851B55C08F300BFC68ED4040,ChIJ42f6OcsP9YgRKgWhS9P-xSw,
The Daily,Cannonborough,652 B King St,Charleston,SC,29403,0101000020E6100000F2BAD97A61FC53C0C91CCBBBEA654040,ChIJDdSww0J6_ogRvvj8m1N0UbY,
The Daily,Inman Park,100 Hurt St NE,Atlanta,GA,30307,0101000020E6100000163B788CA71655C007E37E1BE4E04040,ChIJWTGUwM8H9YgRpg7-fUaVBVg,
The Daily,West Midtown,763 Trabert Ave NW,Atlanta,GA,30318,0101000020E61000007C293C68761A55C01155F833BCE54040,ChIJ721mea0F9YgRprcP8IRu09U,
The Drunken Munkey,Upper East Side,338 E 92nd St,New York,NY,10128,0101000020E6100000BDE88601A67C52C02335FE8EF2634440,ChIJi8Yi9a9YwokRco5vySESCUk,
The Dutch,SoHo,131 Sullivan St,New York,NY,10012,0101000020E61000006564DA48238052C055BCDB06FF5C4440,ChIJ3RB9uI1ZwokRxCJXW-HpYZI,
The Garret West,West Village,296 Bleecker St,New York,NY,10014,0101000020E61000000CE60FED3C8052C06A7690E0C25D4440,ChIJkdFGdJNZwokRY_FA1UjcHGI,
The Greats of Craft,LIC,10-15 43rd Avenue,Long Island City,NY,11101,0101000020E6100000F5A0A014AD7C52C0069FE6E445604440,ChIJL0xJb_ZZwokRfmKufMDAycE,
The Greats of Craft,Midtown East,983 1st Ave.,New York,NY,10022,0101000020E6100000EE98BA2BBB7D52C0C573B680D0604440,ChIJs6AxqHdZwokRwkvw64aePmI,
The Green Room,Sag Harbor,90 Main St,Sag Harbor,NY,11963,0101000020E6100000E12DEB59EB1252C07106DA780B804440,ChIJpWi5G_S96IkRVVn_x_Wkcpg,
The Hamilton,Upper West Side,998 Amsterdam Ave,New York,NY,10025,0101000020E6100000F58F74BCB87D52C0C1A50815C1664440,ChIJcQDwuzz2wokR1N2euVBPAjM,
The Harlow,James Island,1015 Harbor View Rd,Charleston,SC,29412,0101000020E6100000F0164850FCFB53C0F488D1730B5F4040,ChIJhXhO4UR5_ogRMvd7NEEgzSY,
The Homestead,Mission,2301 Folsom St,San Francisco,CA,94110,0101000020E61000005494A69C8A9A5EC022DD747055E14240,ChIJvzf2ODp-j4ARFdkUw7a_nTw,
The House Of Shields,The House Of Shields,39 New Montgomery St,San Francisco,CA,94105,0101000020E610000030E4C74EAE995EC037894160E5E44240,ChIJP6l_oGKAhYARafMdGyI-75Q,
The Hunterian,Upper East Side,413 E 70th St,New York,NY,10021,0101000020E61000006C7B16DF2B7D52C0F719BC5411624440,ChIJiVD59uZZwokRUwIDtSPgKX0,
The Liberties,The Liberties,998 Guerrero St,San Francisco,CA,94110,0101000020E610000094522BA7189B5EC0B38300CFACE04240,ChIJXxwyPT5-j4ARMj_hNCaaXZA,
The Little Pig,Boerum Hill,497 Atlantic Ave,Brooklyn,NY,11217,0101000020E61000007F556DE9CD7E52C0DC99BA0BC8574440,ChIJF2grHfFbwokRMJul5yRY4cw,
The Lost Draft,SoHo,398 Broome St,New York,NY,10013,0101000020E61000003554D680D27F52C04894AC79445C4440,ChIJHcFFXH9ZwokR_QKedPacLiQ,
The Market at Paradiso,Park Circle,4399 McCarthy Street,North Charleston,SC,29405,0101000020E61000009C86A8C29FFF53C0D00D4DD9E96F4040,ChIJN5ZDFQJl_ogRgxo2x_fmfiY,
The Mary Lane,West Village,99 Bank St,New York,NY,10014,0101000020E6100000F4B086C7688052C0546EDDAB4D5E4440,ChIJvfpl3GpZwokR9Doyl16Ku_w,
The Morris,The Morris,2501 Mariposa St,San Francisco,CA,94110,0101000020E610000053C59E87249A5EC05C02F04FA9E14240,ChIJqZE4DTF-j4ARUYdqdEEgh8k,
The MOUTH Bar + Restaurant,Williamsburg,20 Marcy Ave,Brooklyn,NY,11211,0101000020E6100000C73FD8CE1C7D52C06B3986B6525B4440,ChIJteoD3TJZwokR2RQYq59OS60,
The Musket Room,Nolita,265 Elizabeth St,New York,NY,10012,0101000020E61000005143C0C69A7F52C06C9BF39DA95C4440,ChIJ3TJ4moVZwokRkyy0hZnv_RA,
The Nickel,LoDo,1100 14th St,Denver,CO,80202,0101000020E61000008390E2D2E73F5AC0479BF4087FDF4340,ChIJi9f67894bIcRRrpTdCLK93o,
The OG,The Original,1600 20th St,Denver,CO,80202,0101000020E6100000961D8766C33F5AC08FD5F72BAEE04340,ChIJ7WDnQ3h5bIcR6Cyr5r7ji_k,
The Ox,Greenpoint,52 N 11th St,Brooklyn,NY,11249,0101000020E6100000726F0A27627D52C06981F8AB7A5C4440,ChIJB7fvEKVZwokRylYesyLZxv8,
The Palm Court at The Plaza Hotel,Midtown,768 5th Ave,New York,NY,10019,0101000020E6100000CF07AA815E7E52C045AA5C07F1614440,ChIJYaVdffBYwokRCwC_C_S-tbs,
The Pass,Cannonborough,207-A St Philip St,Charleston,SC,29403,0101000020E610000016A5846055FC53C04242942F68654040,ChIJ-a0VOdp7_ogRE9Ems6Nte18,
The Patio,Marina,3232 Scott St,San Francisco,CA,94123,0101000020E61000002046088F369C5EC09A643FE65EE64240,ChIJ8anRoNaAhYARw_7AiSXOyBI,
The Press,Cannonborough,221 Coming St,Charleston,SC,29403,0101000020E6100000A298BC0166FC53C02844C02154654040,ChIJ2-G-_Kd7_ogRqsUkYpokplA,
The Purple Tongue Wine Bar,Hell's Kitchen,410 W 43rd St,New York,NY,10036,0101000020E61000009F1F46088F7F52C0B05417F032614440,ChIJw4INJQBZwokRQDsl00Ujaig,
The Puttery,Meatpacking,446 W 14th St,New York,NY,10014,0101000020E6100000AA9B30067B8052C055078A69F05E4440,ChIJUxpywGVZwokRIvAIwd-hcrc,
The Refuge,Isle of Palms,1517 Palm Blvd suite a,Isle of Palms,SC,29451,0101000020E61000003AAFB14B54F253C0C3B986191A654040,ChIJn5C08qlz_ogRsEyfIRdjQBg,
The Roll,Pacific Heights,2184 Union St,San Francisco,CA,94123,0101000020E610000090F9DBF9D99B5EC0B2930BDF0CE64240,ChIJGxgWxiWBhYAR71LXuTFYxR4,
The Seafire Grill,Midtown East,158 E 48th St,New York,NY,10017,0101000020E610000046239F573C7E52C0E71C3C139A604440,ChIJpYNIR_1YwokRNMXI4Qk1lwQ,
The Sentinel,The Sentinel,37 New Montgomery St,San Francisco,CA,94105,0101000020E610000035FA87E3AF995EC09B2ED516E8E44240,ChIJcTnoH4iAhYARFWB-p5hD9ek,
The Shakespeare,Midtown East,24 E 39th St,New York,NY,10016,0101000020E61000004668BA8DBC7E52C06909E8740F604440,ChIJI7jw2ABZwokR_N3wkrCRL0A,
The Standard Biergarten,Meatpacking,848 Washington St,New York,NY,10014,0101000020E61000007579833B858052C060630431D15E4440,ChIJQyDv3spZwokRrrN2ugqm6Vs,
The Stand - Comedy Club,The Stand: Comedy Club,116 E 16th St,New York,NY,10003,0101000020E610000026B21E14437F52C017BF5535205E4440,ChIJgWBWFaBZwokRfOWdBPY5Y0o,
The Ten Bells,Lower East Side,247 Broome St,New York,NY,10002,0101000020E61000007F77E1BD597F52C081D1E5CDE15B4440,ChIJPeCaOIdZwokRXr36ali2z_k,
The Ten Bells Brooklyn,Bushwick,65 Irving Ave,Brooklyn,NY,11237,0101000020E61000003DDA931B207B52C0D4861E8C335A4440,ChIJv5QvLQddwokR8sH0Q-NHt5Q,
The Third Floor,Chinatown,433 Clay St,San Francisco,CA,94111,0101000020E61000009291B3B0A7995EC092CB7F48BFE54240,ChIJ5ZJ8MmCAhYARlWdcG-Y51NM,
The Tippling House,Cannonborough,221 Coming St,Charleston,SC,29403,0101000020E61000007E8E8F1667FC53C040A0336953654040,ChIJ3Smbkrx7_ogR0kLofdrh90s,
The Tusk Bar,NoMad,7 E 27th St,New York,NY,10016,0101000020E6100000507FAC962A7F52C0F4BAEAA6395F4440,ChIJ81FEDgBZwokR6hAwPtR8c-o,
The Wooly,Nolita,390 Broome St,New York,NY,10013,0101000020E61000002ADE116FCD7F52C046915C29465C4440,ChIJF_I2YsVZwokRp-Q1focBJpw,
Thief,Williamsburg,595 Union Ave,Brooklyn,NY,11211,0101000020E61000006E853567F57C52C068B337D6EC5B4440,ChIJQwVjADNZwokRaaCi0RuPzWE,
Third Falcon,Fort Greene,360 Myrtle Ave,Brooklyn,NY,11205,0101000020E6100000327216F6347E52C0CD8D9080C2584440,ChIJT0Pe_qJbwokR6Ql0YY5qF8I,
Threes Brewing,Gowanus,333 Douglass St,Brooklyn,NY,11217,0101000020E610000025F94CC9DA7E52C0749458CA08574440,ChIJ__u3R6tbwokRYMOym8O83H0,
Threes Brewing,Greenpoint,113 Franklin St,Brooklyn,NY,11222,0101000020E610000075F9F0594C7D52C0DF8754CB825D4440,ChIJE6U0R0BZwokRqbil1N5FfAM,
Thursday Kitchen,East Village,424 E 9th St,New York,NY,10009,0101000020E6100000AB293F9BF57E52C098174D792A5D4440,ChIJVyFicJ1ZwokR2oIygOmovWw,
Thyme Bar,Chelsea,20 W 23rd St,New York,NY,10010,0101000020E61000008C68D18C657F52C05FBAD280F35E4440,ChIJGeLvoN9ZwokRyjK1gD08W7Q,
Tia Pol,Chelsea,205 10th Avenue,New York,NY,10011,0101000020E6100000BABA63B14D8052C0ED444948A45F4440,ChIJ8RjtPrhZwokRVZXEfLUKtM4,
Tiki Chick,Upper West Side,517 Amsterdam Ave,New York,NY,10024,0101000020E61000008CE1A0736D7E52C0FCB44071B6644440,ChIJh3HkKvdZwokR-8i3PwLN_mI,
Tio Pepe,West Village,168 West 4th Street,New York,NY,10014,0101000020E610000017BEFFB4198052C09B6F8349BB5D4440,ChIJ06Eo6ZNZwokR_ngr5nAD7do,
Tolo,Lower East Side,28 Canal St,New York,NY,10002,0101000020E61000004FB7A283647F52C062E6F16A6F5B4440,ChIJQSKt-VdbwokRRPjIjPe6XEA,
Tonchin,Williamsburg,109 N 3rd St,Brooklyn,NY,11249,0101000020E61000000C0D1F6C8C7D52C04B1FBAA0BE5B4440,ChIJVQw7S69ZwokRxkRkuFLa494,
Torch & Crown Brewing Company,SOHO,12 Vandam St,New York,NY,10013,0101000020E610000007EF6036468052C039243222F55C4440,ChIJFcrad0_1wokRgswE_VOwb4o,
Toro,Cherry Creek,150 Clayton Ln Ste B,Denver,CO,80206,0101000020E610000092184EE3283D5AC0FEBF458204DC4340,ChIJxT4AIcp_bIcRL_rWb-gwyoY,
Townline BBQ,Honest Man Hospitality HQ,3593 Montauk Hwy,Sagaponack,NY,11962,,ChIJ7RE7YDq86IkRDGtyIsrUaXU,
Townline BBQ,Sagaponack,3593 Montauk Hwy,Sagaponack,NY,11962,0101000020E61000007ADD2230D61052C07DCD72D9E8784440,ChIJ7RE7YDq86IkRDGtyIsrUaXU,
Toy Soldier,Financial,52 Belden Pl,San Francisco,CA,94104,0101000020E6100000518F238CD5995EC0612DE34B4DE54240,ChIJtT_kKIqAhYAR8kotss7-lA8,
Trellis Cafe & Bar,SOMA,981 Mission St,San Francisco,CA,94103,0101000020E6100000F45117541E9A5EC0815EE34403E44240,ChIJY0EnjzaBhYARVDEBQc2PdKM,
Trick Dog,Mission,3010 20th St,San Francisco,CA,94110,0101000020E61000003D3723394F9A5EC088F546AD30E14240,ChIJFc-4Pzd-j4ARf66cV7PRZxw,
Troya,Pacific Heights,2125 Fillmore St,San Francisco,CA,94115,0101000020E6100000209D6A4AC89B5EC0E82B958910E54240,ChIJZUcfNsaAhYARZ4b7QZiwaRc,
Tutti,Downtown,700 King St suite a,Charleston,SC,29403,0101000020E61000000667F0F78BFC53C018213CDA38664040,ChIJm2S3LFl7_ogR-dSlRIN67EU,
Twin Tails,Columbus Circle,10 Columbus Cir,New York,NY,10019,0101000020E61000007B377D5AEC7E52C0166359FE62624440,ChIJbxASGTNZwokR9eIMYL28EQE,
Twist Bar,Chelsea,164 9th Ave,New York,NY,10011,,ChIJL8iG0HNZwokR70zQBzoMKTc,
Two Hands Williamsburg,Williamsburg,262 Kent Ave,Brooklyn,NY,11249,0101000020E61000009D05CA43DB7D52C095AFC648AA5B4440,ChIJ256pFiBawokR-JFcFPAz7Ig,
Umbra,Bushwick,785 Hart St,Brooklyn,NY,11237,0101000020E6100000F5F983DC207B52C076E61E12BE594440,ChIJR_kku1tdwokROHIILkAiqwk,
Uncork,Wraggborough,476 King St,Charleston,SC,29403,0101000020E6100000E22021CA17FC53C00E1714611E654040,ChIJBUxFNWp6_ogRbCCh69ktiXo,
Unregular Bakery,Union Square,124 4th Ave,New York,NY,10003,0101000020E6100000A91BF1155E7F52C0C416D04FD95D4440,ChIJ52QMLUtZwokRZwW4R7FUo2M,
Unregular Pizza,Lower East Side,Essex Market – 88 Essex St,New York,NY,10002,0101000020E6100000526861303E7F52C0B20766F0E85B4440,ChIJlZhb1NhZwokRZ-xeod509HE,
Unregular Pizza,Midtown,14 E 37th Street,New York,NY,10016,0101000020E6100000C649CE80DD7E52C0B906C4CFFD5F4440,ChIJW2boKvdZwokRAYw2cJwEH9I,
Unregular Pizza,Union Square,135 4th Avenue,New York,NY,10003,0101000020E6100000BCB9495F557F52C04BB6E902EE5D4440,ChIJY5XrfwVZwokRw3jqTvqqtSA,
Unregular Pizza,Upper East Side,1132 Lexington Ave,New York,NY,10075,0101000020E61000002846F1A1647D52C0FC7190CA2A634440,ChIJfxzCCUBZwokR5uTiL9Gm9U4,
Upside,Nolita,51 Spring Street,New York,NY,10012,0101000020E61000004E0CC9C9C47F52C05C7171546E5C4440,ChIJJ4RaxFlZwokRPhaSd7t35H0,
Upstate Stock,Williamsburg,2 Berry St,Brooklyn,NY,11249,0101000020E6100000A2467C821F7D52C08008162C7A5C4440,ChIJuc3ZQENZwokRZcX6QOJdqVA,
Uptown Social,Downtown,587 King St,Charleston,SC,29403,0101000020E6100000B77C24253DFC53C02446CF2D74654040,ChIJK_IU5Gl6_ogRSRZ2slY7U48,
Urban Farmer Denver,LoDo,1659 Wazee St,Denver,CO,80202,0101000020E6100000D1F18755F23F5AC033AF7EC74BE04340,ChIJpZERZMN4bIcRBzONa01GT7E,
Veranda Lounge,Downtown,61 State St,Charleston,SC,29401,,ChIJaZ77_iZ7_ogRkIbToV7u2Hs,
Verde,Avondale,13 Magnolia Rd,Charleston,SC,29407,0101000020E6100000B14E95EF19FF53C04DC0AF9124644040,ChIJGXy4c8J7_ogR3zm4tOX3Bc4,
Verde,Belle Hall,616 Long Point Rd A,Mt Pleasant,SC,29464,0101000020E6100000BBB54C86E3F653C09485AFAF756B4040,ChIJ5bKJ9dtx_ogRC2LndtxGrNM,
Verde,CHS Airport,5500 International Blvd,North Charleston,SC,29418,0101000020E6100000B37E33315D0254C0302FC03E3A714040,ChIJK_CSR6Bl_ogRvvcG30aQ4k4,
Verde,King Street,433 King St,Charleston,SC,29403,0101000020E6100000E36BCF2C09FC53C01AA4E029E4644040,ChIJg7b6WRN6_ogRMxXw1kPkUEM,
Verde,Mount Pleasant,730 Coleman Boulevard,Mount Pleasant,SC,29464,0101000020E6100000B1DB679599F753C067EE21E17B654040,ChIJVXYimARx_ogRVlpbo6vVfx8,
Verde,MUSC - Ashley River Tower,25 Courtenay Dr,Charleston,SC,29425,0101000020E6100000B1C05774EBFC53C0F72004E44B644040,ChIJsxvhLsx7_ogRcJd0BK1G7Yg,
Verde,MUSC Main Hospital,171 Ashley Ave,Charleston,SC,29425,0101000020E6100000505436ACA9FC53C0F25CDF8783644040,ChIJsxvhLsx7_ogRcJd0BK1G7Yg,
Verde,Park Circle,4731 Mixson Avenue,North Charleston,SC,29405,0101000020E61000001D75745C8DFF53C03B3602F1BA704040,ChIJK_CSR6Bl_ogRvvcG30aQ4k4,
Veselka,East Village,144 2nd Ave,New York,NY,10003,0101000020E6100000EE78CADF2C7F52C054E6CF1C505D4440,ChIJlxDiXJxZwokRp4HHbeYqXXU,
Veselka Grand Central,Grand Central,89 E 42nd St,New York,NY,10017,0101000020E610000071033E3F8C7E52C0761893FE5E604440,ChIJVZ111KNZwokRisf1cc9jgxg,
Veselka Williamsburg,Williamsburg,646 Lorimer St,Brooklyn,NY,11211,0101000020E610000059378269BE7C52C0A7BCB354B15B4440,ChIJZyqIQwBZwokR1lSPyPdTLoM,
Vineapple,Brooklyn Heights,71 Pineapple St,Brooklyn,NY,11201,0101000020E6100000DC6B41EF8D7F52C0A9FFEECA63594440,ChIJkdevwDdawokR0j_3ECiQ8rE,
Virginia's,East Village,200 E 3rd St,New York,NY,10009,0101000020E6100000F12DAC1BEF7E52C02315C616825C4440,ChIJVZXlLHdZwokR9Vd3zCwFaqQ,
Wabi Nori Hand Roll Bar,Lower East Side,115 Essex St,New York,NY,10002,0101000020E61000000BF7802F3B7F52C0A544B7031A5C4440,ChIJSU8szcZZwokRurWGO4cm_3g,
Wenwen,Greenpoint,1025 Manhattan Ave,Brooklyn,NY,11222,0101000020E6100000D120054F217D52C03E5D273FF35D4440,ChIJmcr2IF9ZwokRr-u_-UTxju4,
White Horse Tavern,West Village,567 Hudson St,New York,NY,10014,0101000020E610000095366159658052C063185CD02B5E4440,ChIJGfAs0ZRZwokR584EB4uBkyU,
Wild Common,Cannonborough Elliotborough,Left Side,Charleston,SC,29403,0101000020E6100000234C512E8DFC53C056A7B9CB34654040,ChIJzUn6Qi17_ogRX1VX24enKTE,
Wild East Brewing Co.,Gowanus,623 Sackett St,Brooklyn,NY,11217,0101000020E6100000D16ACFA9F37E52C042A98677DD564440,ChIJCb9dhqVbwokRRWJzMd-IdYk,
Wildflower,Chelsea,505 W 23rd St,New York,NY,10011,0101000020E6100000C36169E0478052C009FCE1E7BF5F4440,ChIJnReZJQBZwokRRwOUbuV7JzE,
Wild Taco Denver,Berkeley,4499 W 38th Ave,Denver,CO,80212,0101000020E6100000DB53CD07DF425AC0527FBDC282E24340,ChIJDXN_xtGHa4cRO1YlWuG53qY,
Wine:30,Nomad,41 E 30th St,New York,NY,10016,0101000020E6100000FF942A51F67E52C0E48409A3595F4440,ChIJiUAH6adZwokRfDpIF52xwuo,
WINNER Bakery,Bakery,367 7th Ave,Brooklyn,NY,11215,0101000020E610000013C08B2DDE7E52C0328ACE1742554440,ChIJg8UZJyNbwokR0-LkfR8MPJQ,
WINNER Butcher,Park Slope,192 5th Ave,Brooklyn,NY,11217,0101000020E61000000F38B45FBC7E52C09ACDBAEBA7564440,ChIJvaJYgaVbwokR7sVs_le8J7Y,
WINNER in the Park,Park Slope,40 West Dr,Brooklyn,NY,11215,0101000020E610000004A768E62E7E52C0E8D631D032554440,ChIJActbacRbwokROX-Id6MuxSY,
Woodie Fisher,LoDo,1999 Chestnut Pl #100,Denver,CO,80202,0101000020E6100000DFA815A6EF3F5AC04F1F813FFCE04340,ChIJ97BI5sV5bIcRbxRz-Unx0fU,
Work & Class,RiNo,2500 Larimer St,Denver,CO,80205,0101000020E61000002642D94A1E3F5AC0E0DFA0BDFAE04340,ChIJS7FA8d94bIcR0Yx7VLagdMo,
X-Golf,Williamsburg,105 N 13th St,Brooklyn,NY,11249,0101000020E61000006FB5CB9A317D52C02B2E0379815C4440,ChIJeYgCuyJZwokR1g2Im-QCgtk,
Yingtao (Bar Only),Hell's Kitchen,805 9th Ave,New York,NY,10019,0101000020E61000005B5EB9DE367F52C05E2ADB2C03624440,ChIJkYkkoh1ZwokRE01ymVZhhpg,
Za-Ya,Bushwick,321 Starr St Suite D,Brooklyn,NY,11237,0101000020E61000003B2064B4E97A52C0D1C144CDA15A4440,ChIJA5X-O_NfwokRuYuGvy82R_I,
Zillions Pizza,Hell's Kitchen,360 W 42nd St,New York,NY,10036,0101000020E6100000349ABB30837F52C087C98C4F09614440,ChIJ0fMzPqxZwokRANQQd_Ru5O0,
ZOË,SOMA,579 Howard St,San Francisco,CA,94105,,ChIJl1L3AAqBhYARfrEds4G_pEU,
Zou Zou's,Hudson Yards,385 9th Ave Suite 85,New York,NY,10001,0101000020E61000003E2138E2E37F52C0C246465D67604440,ChIJKVbn75VZwokRLdlBWe5rbtU,
