Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?
K'Far Williamsburg,K'far,,ChIJ6TIr1bdZwokRwODfMs7T90g,NYC,
Parcelle Chinatown,Parcelle Wine Bar,135 Division Street,ChIJI3VG1kxYwokRECoJD1lSvSY,NYC,
Ambra West Village,Ambra,,ChIJW0-RNpdZwokRQYkOS0HTtwM,NYC,
Momofuku (Noodle Bar) - Uptown,Momofuku (Noodle Bar),10 Columbus Cir,ChIJKzLt4dZZwokRbv-Ebx1hBo0,NYC,
Ace's Pizza Williamsburg,Ace’s Pizza Williamsburg,30 Rockefeller Plz,ChIJMTXf1ChZwokR2WKzrREy78s,NYC,
Bobwhite Counter Union Square,Bobwhite Counter (Union Square),,ChIJY8YwP65ZwokRH5YcEM4Ai4c,NYC,
Nami Nori Montclair,Nami Nori (Montclair NJ),,ChIJr4W1Xz1VwokRI-HqiIpeKRw,NYC,
Unregular Pizza Lower East Side,Unregular Pizza LES,135 4th Ave,ChIJlZhb1NhZwokRZ-xeod509HE,NYC,
Saga SAGA,SAGA,70 Pine St,ChIJZZlClEZbwokRZj-0-fE25tk,NYC,
Bon Banh Mi - N. Mt. Pleasant,Bon Banh Mi - N. Mt. Pleasant,"1100 Oakland Market rd, Mt. P, SC 29466",ChIJ-8xLhPVt_ogRX7YnQGJ0t8Y,CHS,
Llama Inn Williamsburg,Llama Inn,50 Withers Street,ChIJD6vUMlpZwokRSFeGSBW_gvU,NYC,
Cappone's West Village,Cappone’s Salumeria,75 9th Avenue,ChIJm2WVXL9ZwokRNwGDFzSKuH8,NYC,
Frankies 457 Carroll Gardens,Frankies,457 Court St,ChIJm7uvMfZawokRNR0XRCotzWY,,
The Bakery at Greywind Hudson Yards,The Bakery at Greywind,451 10th Ave,ChIJj6BPafxZwokRcskGmEJX2As,NYC,
Mishik Hudson Square,Mishik,259 Hudson Street,ChIJSx4uSy5ZwokRwqbvtErf43M,NYC,
Alidoro Midtown,Alidoro Moynihan Train Hall,,ChIJr5odo75ZwokR4AhVgTmpHC4,NYC,
Dhamaka Lower East Side,Dhamaka +,,ChIJJyPbJe1ZwokRu8dDEOqAYDc,NYC,
Sunday in Brooklyn Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJkRWC9WFZwokRfa5Uzor3e-g,NYC,
The Stand Union Square,The Stand,116 E 16th St,ChIJgWBWFaBZwokRfOWdBPY5Y0o,NYC,
Beautiful South Cannonborough,Beautiful South,128 Columbus Street,ChIJrfi1NJ17_ogRVSM0K9wWC1c,CHS,
Farm to People Kitchen & Bar Bushwick,Farm to People Kitchen & Bar,,ChIJuUtZ-hdZwokRQw4pPJqOQbQ,NYC,
Local 42 Hell's Kitchen,Local 42,,ChIJA__4pVVZwokRCrAjVlE9BPE,NYC,
Jajaja Mexicana Williamsburg,Jajaja Williamsburg,,ChIJgV3yD_lZwokRPTi6aPfX2yo,NYC,
Ace's Pizza Rockefeller Center,Ace’s Pizza Rockefeller,,ChIJvcKC7PxZwokRYgo9FMn7HZ8,NYC,
Jajaja Mexicana Hudson Yards,Jajaja Hudson Yards,,ChIJH-d6yh5ZwokRazxWiTWTrAY,NYC,
Unregular Bakery Union Square,Unregular Bakery Union Square,,ChIJ52QMLUtZwokRZwW4R7FUo2M,NYC,
Softside Soho,Softside / Soupside,,ChIJxYuTzARZwokRKR54lIJ6qfw,NYC,
Lighthouse Williamsburg,Lighthouse,145 Borinquen Pl,ChIJmU4y-OFbwokRuuTUu-zsedc,NYC,
Freemans,Freemans,Freeman Alley,ChIJRcCC14VZwokRvJiDo29-IGM,NYC,
Alidoro Rockefeller Center,Alidoro Rock Center,,ChIJrYlZAHVZwokRGSjwdeMjaac,NYC,
Llama San Llama San,Llama San,359 Avenue of the Americas,ChIJ8youq41ZwokRqnnXghN1DIs,NYC,
Zillions Pizza Hell's Kitchen,Zillions Pizza,360 W 42nd St,ChIJ0fMzPqxZwokRANQQd_Ru5O0,NYC,
Joey Roses LES,Joey Roses,,ChIJyRRi4bpZwokR03CRX3x-RHc,NYC,
Jajaja Mexicana LES,Jajaja LES,,ChIJp0gKoClawokR0txqrcaEkFc,NYC,
Kultura Downtown,Kultura,,ChIJN1Kj-z57_ogRCzFv0tY-VRM,CHS,
The Daily Buckhead,The Daily (Buckhead),,ChIJ42f6OcsP9YgRKgWhS9P-xSw,ATL,
